"Count";"NC_Id";"Species";"Domain";"Realm";"Phylum";"Subphylum";"Class";"Order";"Suborder";"Family";"Subfamily";"Genus"
589;"NC_031942.1";"Streptococcus phage phiARI0462";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
590;"NC_031913.1";"Streptococcus phage phiARI0460-1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
591;"NC_031941.1";"Streptococcus phage phiARI0131-2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
592;"NC_031901.1";"Streptococcus phage phiARI0131-1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
593;"NC_031910.1";"Streptococcus phage phiARI0031";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
594;"NC_031920.1";"Streptococcus phage phiARI0004";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
595;"NC_031936.1";"Gordonia phage GAL1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
596;"NC_031909.1";"Campylobacter phage PC14";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Eucampyvirinae";"Fletchervirus"
597;"NC_031908.1";"Pseudoalteromonas phage PH1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Kafunavirus"
598;"NC_031917.1";"Pseudoalteromonas phage BS5";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
599;"NC_031914.1";"Flavobacterium phage Fpv1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Fipvunavirus"
600;"NC_031926.1";"Flavobacterium phage 2A";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Unahavirus"
601;"NC_031911.1";"Flavobacterium phage 1H";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Unahavirus"
602;"NC_031925.1";"Salmonella phage BPS11Q3";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";"Guernseyvirinae";"Jerseyvirus"
603;"NC_031933.1";"Salmonella phage 118970_sal2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Tequintavirus"
604;"NC_031939.1";"Salmonella phage BPS15Q2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Ounavirinae";"Felixounavirus"
605;"NC_031918.1";"Salmonella phage 64795_sal3";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
606;"NC_032001.1";"Only Syngen Nebraska virus 5";"Viruses";NA;NA;NA;NA;NA;NA;"Phycodnaviridae";NA;"Chlorovirus"
607;"NC_018085.1";"Bacillus phage BtCS33";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
608;"NC_032105.1";"Simian mastadenovirus WIV19";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Mastadenovirus"
609;"NC_032111.1";"BeAn 58058 virus";"Viruses";NA;NA;NA;NA;NA;NA;"Poxviridae";"Chordopoxvirinae";NA
610;"NC_032114.1";"Bivalve RNA virus G3";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;NA;NA;NA
611;"NC_032115.1";"Bivalve RNA virus G5";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Dicistroviridae";NA;NA
612;"NC_032112.1";"Bivalve RNA virus G1";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Dicistroviridae";NA;NA
613;"NC_032116.1";"Bivalve RNA virus G4";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
614;"NC_032113.1";"Bivalve RNA virus G2";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;NA;NA;NA
615;"NC_032117.1";"Bivalve hepelivirus G";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
616;"NC_023485.1";"Hibiscus bacilliform virus GD1";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Caulimoviridae";NA;"Badnavirus"
617;"NC_033415.1";"Trichoderma atroviride mycovirus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
618;"NC_032840.1";"Biomphalaria virus 3";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;NA;NA;NA
619;"NC_033456.1";"Biomphalaria virus 2";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;NA;NA;NA
620;"NC_036582.1";"Flamingopox virus FGPVKD09";"Viruses";NA;NA;NA;NA;NA;NA;"Poxviridae";"Chordopoxvirinae";"Avipoxvirus"
621;"NC_018504.1";"Apocheima cinerarium nucleopolyhedrovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;"Alphabaculovirus"
622;"NC_018530.1";"Paspalum striate mosaic virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Mastrevirus"
623;"NC_018575.1";"Crocuta crocuta papillomavirus 1";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Lambdapapillomavirus"
624;"NC_018577.1";"Sporobolus striate mosaic virus 1";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Mastrevirus"
625;"NC_018578.1";"Sporobolus striate mosaic virus 2";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Mastrevirus"
626;"NC_018576.1";"Paspalum dilatatum striate mosaic virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Mastrevirus"
627;"NC_018579.1";"Digitaria ciliaris striate mosaic virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Mastrevirus"
628;"NC_018572.1";"Caladenia virus A";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Poacevirus"
629;"NC_036877.1";"Cyclovirus PK5006";"Viruses";NA;NA;NA;NA;NA;NA;"Circoviridae";NA;"Cyclovirus"
630;"NC_037057.1";"Dishui lake phycodnavirus 1";"Viruses";NA;NA;NA;NA;NA;NA;"Phycodnaviridae";NA;"Prasinovirus"
631;"NC_018613.1";"Rhizosolenia setigera RNA virus 01";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Marnaviridae";NA;"Bacillarnavirus"
632;"NC_018629.1";"Ikoma lyssavirus";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Rhabdoviridae";NA;"Lyssavirus"
633;"NC_018702.1";"Murine astrovirus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Astroviridae";NA;NA
634;"NC_018671.1";"Sauropus leaf curl disease associated DNA beta";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
635;"NC_018703.1";"Culex originated Tymoviridae-like virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Tymoviridae";NA;"Maculavirus"
636;"NC_023500.1";"Staphylococcus phage StauST398-5";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Phietavirus"
637;"NC_023502.1";"Rhizobium phage vB_RleS_L338C";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
638;"NC_023499.1";"Staphylococcus phage StauST398-4";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Biseptimavirus"
639;"NC_034625.1";"Sulfolobus islandicus rod-shaped virus 10";"Viruses";NA;NA;NA;NA;"Ligamenvirales";NA;"Rudiviridae";NA;"Rudivirus"
640;"NC_034626.1";"Bat mastadenovirus WIV17";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Mastadenovirus"
641;"NC_034620.1";"Sulfolobus islandicus rod-shaped virus 9";"Viruses";NA;NA;NA;NA;"Ligamenvirales";NA;"Rudiviridae";NA;"Rudivirus"
642;"NC_034623.1";"Sulfolobus islandicus rod-shaped virus 8";"Viruses";NA;NA;NA;NA;"Ligamenvirales";NA;"Rudiviridae";NA;"Rudivirus"
643;"NC_034619.1";"Sulfolobus islandicus rod-shaped virus 7";"Viruses";NA;NA;NA;NA;"Ligamenvirales";NA;"Rudiviridae";NA;"Rudivirus"
644;"NC_034627.1";"Sulfolobus islandicus rod-shaped virus 6";"Viruses";NA;NA;NA;NA;"Ligamenvirales";NA;"Rudiviridae";NA;"Rudivirus"
645;"NC_034621.1";"Sulfolobus islandicus rod-shaped virus 5";"Viruses";NA;NA;NA;NA;"Ligamenvirales";NA;"Rudiviridae";NA;"Rudivirus"
646;"NC_034628.1";"Sulfolobus islandicus rod-shaped virus 4";"Viruses";NA;NA;NA;NA;"Ligamenvirales";NA;"Rudiviridae";NA;"Rudivirus"
647;"NC_034624.1";"Sulfolobus islandicus rod-shaped virus 11";"Viruses";NA;NA;NA;NA;"Ligamenvirales";NA;"Rudiviridae";NA;"Rudivirus"
648;"NC_034972.1";"Coronavirus AcCoV-JC34";"Viruses";"Riboviria";NA;NA;NA;"Nidovirales";"Cornidovirineae";"Coronaviridae";"Orthocoronavirinae";"Alphacoronavirus"
649;"NC_034978.1";"Torque teno indri virus 1";"Viruses";NA;NA;NA;NA;NA;NA;"Anelloviridae";NA;NA
650;"NC_035072.1";"Bat mastadenovirus WIV18";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Mastadenovirus"
651;"NC_023547.1";"Ustilaginoidea virens RNA virus 3";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Totiviridae";NA;"Victorivirus"
652;"NC_023586.1";"Ralstonia phage 1 NP-2014";"Viruses";NA;NA;NA;NA;NA;NA;"Inoviridae";NA;NA
653;"NC_023568.1";"Vibrio phage VH7D";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";NA
654;"NC_023595.2";"Enterococcus phage IME_EF3";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Efquatrovirus"
655;"NC_023592.1";"Haloarcula hispanica pleomorphic virus 2";"Viruses";NA;NA;NA;NA;NA;NA;"Pleolipoviridae";NA;"Alphapleolipovirus"
656;"NC_023575.1";"Pseudomonas phage vB_PaeP_Tr60_Ab31";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;NA
657;"NC_023610.1";"Erwinia phage PhiEaH1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Iapetusvirus"
658;"NC_023601.1";"Pseudomonas phage phiPsa374";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Otagovirus"
659;"NC_035137.1";"Bemisia-associated genomovirus AdDF";"Viruses";NA;NA;NA;NA;NA;NA;"Genomoviridae";NA;NA
660;"NC_035117.1";"Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota";"Viruses";NA;NA;NA;NA;"Herpesvirales";NA;"Herpesviridae";"Gammaherpesvirinae";"Rhadinovirus"
661;"NC_035139.1";"Bemisia-associated genomovirus NfO";"Viruses";NA;NA;NA;NA;NA;NA;"Genomoviridae";NA;NA
662;"NC_035138.1";"Bemisia-associated genomovirus AdO";"Viruses";NA;NA;NA;NA;NA;NA;"Genomoviridae";NA;NA
663;"NC_023600.1";"Mycobacterium phage Jolie1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";"Bclasvirinae";NA
664;"NC_023603.1";"Mycobacterium phage 39HC";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";"Bclasvirinae";NA
665;"NC_023607.1";"Mycobacterium phage 40AC";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Fromanvirus"
666;"NC_023612.1";"Geobacillus phage GBK2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
667;"NC_023605.1";"Vibrio phage PVA1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;NA
668;"NC_023604.1";"Mycobacterium phage Jolie2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Liefievirus"
669;"NC_023561.1";"Enterobacter phage PG7";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";"Karamvirus"
670;"NC_023602.1";"Mycobacterium phage 32HC";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Trigintaduovirus"
671;"NC_035215.1";"Squash chlorotic leaf spot virus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Secoviridae";NA;"Torradovirus"
672;"NC_035221.1";"Squash chlorotic leaf spot virus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Secoviridae";NA;"Torradovirus"
673;"NC_035218.1";"Motherwort yellow mottle virus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Secoviridae";NA;"Torradovirus"
674;"NC_035220.1";"Motherwort yellow mottle virus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Secoviridae";NA;"Torradovirus"
675;"NC_035219.1";"Lettuce necrotic leaf curl virus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Secoviridae";NA;"Torradovirus"
676;"NC_035214.1";"Lettuce necrotic leaf curl virus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Secoviridae";NA;"Torradovirus"
677;"NC_023566.1";"Rhizobium phage vB_RglS_P106B";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
678;"NC_023557.1";"Erwinia phage Ea35-70";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Agricanvirus"
679;"NC_023597.1";"Mycobacterium phage 20ES";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Fromanvirus"
680;"NC_023614.1";"Croceibacter phage P2559Y";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
681;"NC_023606.1";"Mycobacterium phage CRB1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Fromanvirus"
682;"NC_023599.1";"Bacillus phage phiCM3";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
683;"NC_023594.2";"Shewanella phage Spp001";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
684;"NC_023555.1";"Edwardsiella phage eiAU-183";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
685;"NC_023578.1";"Mycobacterium phage Oaker";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Barnyardvirus"
686;"NC_023551.1";"Enterococcus phage IME-EF4";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Efquatrovirus"
687;"NC_023593.1";"Escherichia phage KBNP1711";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Kuravirus"
688;"NC_023567.2";"Klebsiella phage F19";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Drulisvirus"
689;"NC_023582.1";"Staphylococcus phage vB_SepS_SEP9";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Sextaecvirus"
690;"NC_023549.1";"Clavibacter phage CN1A";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
691;"NC_023589.1";"Shigella phage pSb-1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Gamaleyavirus"
692;"NC_023579.1";"Erwinia phage Ea9-2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Johnsonvirus"
693;"NC_023574.1";"Lactococcus phage phiL47";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
694;"NC_023569.1";"Vibrio phage SHOU24";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
695;"NC_023584.1";"Synechococcus phage S-MbCM100";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
696;"NC_023556.1";"Achromobacter phage JWAlpha";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Jwalphavirus"
697;"NC_023581.1";"Acinetobacter phage Presley";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;NA
698;"NC_023570.1";"Acinetobacter phage Petty";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Friunavirus"
699;"NC_023591.1";"Mycobacterium phage Adler";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
700;"NC_023588.1";"Stenotrophomonas phage Smp131";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Peduovirinae";"Peduovirus"
701;"NC_023631.1";"Bovine astrovirus B18/HK";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Astroviridae";NA;NA
702;"NC_023632.1";"Bovine astrovirus B170/HK";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Astroviridae";NA;"Mamastrovirus"
703;"NC_023629.1";"Bovine astrovirus B76/HK";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Astroviridae";NA;"Mamastrovirus"
704;"NC_023630.1";"Bovine astrovirus B76-2/HK";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Astroviridae";NA;"Mamastrovirus"
705;"NC_023637.1";"Posavirus 1";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;NA;NA;"Posavirus"
706;"NC_023638.1";"Posavirus 2";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;NA;NA;"Posavirus"
707;"NC_023734.1";"Psychrobacter phage Psymv2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
708;"NC_035758.1";"Bastrovirus 7";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Astroviridae";NA;NA
709;"NC_035479.1";"Felis catus papillomavirus type 5";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";NA;NA
710;"NC_035619.1";"Odocoileus adenovirus 1";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Atadenovirus"
711;"NC_023719.1";"Bacillus phage G";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Herelleviridae";"Bastillevirinae";"Nitunavirus"
712;"NC_023737.1";"Mycobacterium phage Pleione";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Bixzunavirus"
713;"NC_023691.1";"Mycobacterium phage Patience";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Patiencevirus"
714;"NC_023714.1";"Mycobacterium phage LinStu";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Bixzunavirus"
715;"NC_023696.1";"Mycobacterium phage Dandelion";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Bixzunavirus"
716;"NC_023706.1";"Rhodococcus phage ReqiDocB7";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
717;"NC_023722.1";"Rhodococcus phage ReqiPine5";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
718;"NC_023688.1";"Aeromonas phage PX29";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";NA
719;"NC_023735.1";"Rhodococcus phage ReqiPepy6";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pepyhexavirus"
720;"NC_023694.1";"Rhodococcus phage ReqiPoco6";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
721;"NC_023717.1";"Cronobacter phage CR9";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Vequintavirinae";"Certrevirus"
722;"NC_035779.1";"Falcon picornavirus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Picornaviridae";NA;NA
723;"NC_023715.1";"Yersinia phage Yep-phi";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Teseptimavirus"
724;"NC_023733.1";"Mycobacterium phage MoMoMixon";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Bixzunavirus"
725;"NC_023725.1";"Mycobacterium phage Nappy";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Bixzunavirus"
726;"NC_023760.1";"Mink coronavirus strain WD1127";"Viruses";"Riboviria";NA;NA;NA;"Nidovirales";"Cornidovirineae";"Coronaviridae";"Orthocoronavirinae";"Alphacoronavirus"
727;"NC_035798.1";"Tioga picorna-like virus 1";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;NA;NA;NA
728;"NC_028247.1";"Citrobacter phage Michonne";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Ounavirinae";"Mooglevirus"
729;"NC_017974.1";"Cronobacter phage CR3";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Vequintavirinae";"Certrevirus"
730;"NC_010429.1";"Stenotrophomonas phage PSH1";"Viruses";NA;NA;NA;NA;NA;NA;"Inoviridae";NA;NA
731;"NC_003158.1";"Natrinema virus SNJ1";"Viruses";NA;NA;NA;NA;NA;NA;"Sphaerolipoviridae";NA;NA
732;"NC_036390.1";"Maize Iranian mosaic nucleorhabdovirus";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Rhabdoviridae";NA;"Nucleorhabdovirus"
733;"NC_018713.1";"Pestivirus strain Aydin/04-TR";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Flaviviridae";NA;"Pestivirus"
734;"NC_018843.1";"Salmonella phage SSU5";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
735;"NC_018836.1";"Streptomyces phage phiHau3";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
736;"NC_018848.1";"Streptomyces phage SV1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
737;"NC_018837.1";"Pectobacterium phage My1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Myunavirus"
738;"NC_018831.1";"Listeria phage P70";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Homburgvirus"
739;"NC_018854.1";"Escherichia phage ECBP1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Gamaleyavirus"
740;"NC_018859.1";"Escherichia phage ECBP2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Kuravirus"
741;"NC_018834.1";"Propionibacterium phage P9.1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
742;"NC_018841.1";"Propionibacterium phage P101A";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
743;"NC_018845.1";"Propionibacterium phage P104A";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
744;"NC_018849.1";"Propionibacterium phage P105";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
745;"NC_018852.1";"Propionibacterium phage P100D";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
746;"NC_018838.1";"Propionibacterium phage P100_A";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
747;"NC_018840.1";"Propionibacterium phage P100_1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
748;"NC_018842.1";"Propionibacterium phage P1.1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
749;"NC_018847.1";"Propionibacterium phage ATCC29399B_T";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
750;"NC_018851.1";"Propionibacterium phage ATCC29399B_C";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
751;"NC_018832.1";"Providencia phage Redjac";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Chivirus"
752;"NC_018846.1";"Escherichia phage P13374";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Sepvirinae";"Oslovirus"
753;"NC_018833.1";"Iranian johnsongrass mosaic virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Potyvirus"
754;"NC_018861.1";"Campylobacter phage CP30A";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Eucampyvirinae";"Fletchervirus"
755;"NC_018862.1";"Dragonfly-associated microphage 1";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
756;"NC_018850.2";"Pseudomonas phage UFV-P2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;NA
757;"NC_018858.1";"Horseradish latent virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Caulimoviridae";NA;"Caulimovirus"
758;"NC_018864.1";"Tomato leaf curl Yemen betasatellite";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
759;"NC_018871.1";"Rousettus bat coronavirus HKU10";"Viruses";"Riboviria";NA;NA;NA;"Nidovirales";"Cornidovirineae";"Coronaviridae";"Orthocoronavirinae";"Alphacoronavirus"
760;"NC_018875.1";"Epinotia aporema granulovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;"Betabaculovirus"
761;"NC_018874.1";"Abalone herpesvirus Victoria/AUS/2009";"Viruses";NA;NA;NA;NA;"Herpesvirales";NA;"Malacoherpesviridae";NA;NA
762;"NC_019031.1";"Rose yellow mosaic virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;NA
763;"NC_019414.1";"Streptomyces phage R4";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";"Arquatrovirinae";"Arequatrovirus"
764;"NC_019400.1";"Cronobacter phage vB_CsaM_GAP31";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Vequintavirinae";"Seunavirus"
765;"NC_019401.1";"Cronobacter phage vB_CsaM_GAP32";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Eneladusvirus"
766;"NC_019402.1";"Cronobacter phage vB_CsaP_GAP52";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;NA
767;"NC_019398.1";"Cronobacter phage vB_CsaM_GAP161";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";NA
768;"NC_019403.1";"Enterobacteria phage vB_EcoP_ACG-C91";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Zindervirus"
769;"NC_019421.1";"Clostridium phage phiMMP02";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Lubbockvirus"
770;"NC_019422.1";"Clostridium phage phiMMP04";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
